,departure_time,arrival_time,distance,duration,days_left,price,origin_airport_capacity,arrival_airport_capacity,origin_GDP,des_GDP,carrier_category,source_city_Chennai,source_city_Hyderabad,source_city_Kolkata,source_city_Mumbai,source_city_New Delhi,destination_city_Chennai,destination_city_Hyderabad,destination_city_Kolkata,destination_city_Mumbai,destination_city_New Delhi
184,2,5,1160.540574,2.17,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
185,1,4,1160.540574,2.25,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
186,1,4,1160.540574,2.25,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
187,1,4,1160.540574,2.33,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
188,1,4,1160.540574,2.33,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
189,2,5,1160.540574,2.33,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
190,2,5,1160.540574,2.33,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
191,1,1,1160.540574,2.17,6,5956,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
192,4,4,1160.540574,2.08,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
193,1,1,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
194,0,0,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
195,0,2,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
196,0,2,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
197,2,5,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
198,5,5,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
199,1,4,1160.540574,2.25,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
200,4,0,1160.540574,2.25,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
201,2,5,1160.540574,2.25,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
202,4,4,1160.540574,2.33,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
203,4,0,1160.540574,2.33,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
204,2,2,1160.540574,2.33,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
205,2,5,1160.540574,2.33,6,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
206,5,5,1160.540574,2.0,6,6060,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
207,1,4,1160.540574,2.17,6,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
208,0,2,1160.540574,2.25,6,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
209,2,5,1160.540574,2.25,6,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
210,5,5,1160.540574,2.25,6,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
211,4,0,1160.540574,2.33,6,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
212,2,5,1160.540574,2.33,6,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
213,1,4,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
214,1,4,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
215,4,0,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
216,2,5,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
217,5,3,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
218,4,4,1160.540574,2.33,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
219,4,0,1160.540574,2.33,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
220,4,4,1160.540574,2.5,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
221,2,2,1160.540574,2.0,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
222,1,4,1160.540574,2.08,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
223,1,4,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
224,2,5,1160.540574,2.17,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
225,4,4,1160.540574,2.25,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
226,2,5,1160.540574,2.25,6,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
227,5,5,1160.540574,2.25,6,6165,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
228,0,2,1160.540574,2.25,6,6532,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
229,2,2,1160.540574,2.17,6,6585,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
230,0,2,1160.540574,2.25,6,6585,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
231,2,5,1160.540574,2.17,7,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
232,1,4,1160.540574,2.25,7,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
